,Q,RAIN,T2,G,surfM,N,LWin,LWout,H,LE,B,QRR,ME,U2,EVAPORATION,SUBLIMATION,CONDENSATION,DEPOSITION,RH2,date
2022-08-09 03:00:00,0.0005921842818537127,0.3257440454063504,1.9740683162913797,0.4,0.3458380073311407,0.9499999999999997,317.6,-307.7911234129337,7.400079232827204,7.9255697251408534,-1.7137301860882495,0.6653230018082613,24.252518360754387,2.07,0.0,0.0,5.0358469302491724e-06,5.625417672859612e-06,100.0,2022-08-09 03:00:00
2022-08-09 04:00:00,0.0005763756454773851,0.3157433337002305,1.7840658748851297,4.3,0.339132617246221,0.9700000000000002,318.6,-307.79112341293404,5.951870770217893,6.2885408279459,-1.6673445214358291,0.5781744693801412,23.78229070299778,1.9600000000000006,0.0,0.0,4.2927058102223784e-06,4.201475813355432e-06,100.0,2022-08-09 04:00:00
2022-08-09 05:00:00,0.0007163300899623826,0.3724808394439741,1.8840719784007547,15.099999999999996,0.44762777389866615,0.9700000000000002,319.2,-307.79112341293387,7.133761152265157,7.538195739553934,-1.7927701977654014,0.7233889451409696,31.390710607658207,2.1200000000000006,0.0,0.0,5.470172426139457e-06,4.750202398392914e-06,100.0,2022-08-09 05:00:00
2022-08-09 06:00:00,0.0008277609155518249,0.3000297790187907,1.9440695369945047,45.6,0.6810031678343016,0.9800000000000003,320.2,-307.79112341293614,8.890834765043271,8.877078352335936,-1.992550691665276,0.6027449413367496,47.75658395411453,2.34,0.0,0.0,1.2782992827363745e-05,0.0,100.0,2022-08-09 06:00:00
2022-08-09 07:00:00,0.000933263743235116,0.24014677417491376,2.2640768612132547,72.10000000000001,0.8968516168604017,0.9900000000000001,322.9,-307.79112341293614,9.530208073467069,9.615572291954614,-1.923912659458116,0.5690041640512287,62.893348457078645,2.259999999999999,0.0,0.0,1.3846424100414644e-05,0.0,100.0,2022-08-09 07:00:00
2022-08-09 08:00:00,0.0012203319179262921,0.20449320147565025,2.4540487850413797,141.9,1.3179648097037404,1.0,325.2,-307.79112341293614,8.4714157390055,8.591050559729537,-1.6058962631130511,0.528829290862805,92.42467591354863,2.0500000000000003,0.0,0.0,1.2371112806010534e-05,0.0,100.0,2022-08-09 08:00:00
2022-08-09 09:00:00,0.001645509797243907,0.22714287461587016,2.1740500057445047,227.2,1.8306681550832,1.0,324.2,-307.79112341293614,8.507360175364175,8.54875680692553,-0.11628415890164652,0.5150197484018956,128.3789291588538,2.1499999999999995,0.0,0.0,1.231020980197276e-05,0.0,100.0,2022-08-09 09:00:00
2022-08-09 10:00:00,0.001956927624631034,0.23946957113428566,2.2340475643382547,293.09999999999997,2.199931271361387,1.0,329.4,-307.79112341293614,5.0740462587024915,5.102414318899022,0.0,0.5592386635666264,154.27417582823196,1.6499999999999995,0.0,0.0,7.347476619214592e-06,0.0,100.0,2022-08-09 10:00:00
2022-08-09 11:00:00,0.0020353911612556418,0.2954803944427171,2.3740622127757547,289.3,2.211325508171254,1.0,330.1,-307.79112341293614,5.809424893381432,5.869004764009081,0.0,0.7371111338102588,155.07321737826464,1.7300000000000002,0.0,0.0,8.451366860173077e-06,0.0,100.0,2022-08-09 11:00:00
2022-08-09 12:00:00,0.0018838980065181586,0.28393884931066016,2.3640524471507547,254.59999999999994,2.0241300739533314,1.0,329.4,-307.79112341293614,6.828830178495474,6.889414271883708,0.0,0.7050765396991765,141.94579757714217,1.8599999999999999,0.0,0.0,9.92075655151254e-06,0.0,100.0,2022-08-09 12:00:00
